Country,CountryAlpha3Code,Date,confirmed,deaths,recoveries,confirmed_inc,deaths_inc,recoveries_inc,ECR,GRTStringencyIndex,DaysSince1Cases,DaysSince100Cases,confirmed_PopPct,deaths_PopPct,recoveries_PopPct
Turkey,TUR,2020-07-01,201098,5150,175422.0,1192.0,19.0,2311.0,0.0058976220549185054,63.89,112,104,0.2410391082351273,0.006172867991779658,0.2102634657968876
Turkey,TUR,2020-07-02,202284,5167,176965.0,1186.0,17.0,1543.0,0.005793834411025989,63.89,113,105,0.24246066579595268,0.006193244449228251,0.21211292896413342
Turkey,TUR,2020-07-03,203456,5186,178278.0,1172.0,19.0,1313.0,0.005671988046555443,63.89,114,106,0.24386544274476155,0.006216018136964914,0.21368671064825123
Turkey,TUR,2020-07-04,204610,5206,179492.0,1154.0,20.0,1214.0,0.005610673965104285,63.89,115,107,0.2452486446209778,0.006239990439845611,0.21514182943310958
Turkey,TUR,2020-07-05,205758,5225,180680.0,1148.0,19.0,1188.0,0.005278045082086624,63.89,116,108,0.24662465480632986,0.006262764127582274,0.216565784224223
Turkey,TUR,2020-07-06,206844,5241,182995.0,1086.0,16.0,2315.0,0.005090793061437671,63.89,117,109,0.24792635085275175,0.006281941969886832,0.2193405782826638
Turkey,TUR,2020-07-07,207897,5260,185292.0,1053.0,19.0,2297.0,0.005007287262442484,63.89,118,110,0.24918849259942047,0.006304715657623495,0.22209379726851192
Turkey,TUR,2020-07-08,208938,5282,187511.0,1041.0,22.0,2219.0,0.004900975408973052,63.89,119,111,0.2504362509643608,0.006331085190792262,0.2247535242731253
Turkey,TUR,2020-07-09,209962,5300,190390.0,1024.0,18.0,2879.0,0.0047770548956478365,63.89,120,112,0.2516636328718525,0.006352660263384891,0.22820433727280176
Turkey,TUR,2020-07-10,210965,5323,191883.0,1003.0,23.0,1493.0,0.004815964733486666,63.89,121,113,0.2528658438613195,0.006380228411697692,0.22999386968284583
Turkey,TUR,2020-07-11,211981,5344,193217.0,1016.0,21.0,1334.0,0.004774012765295099,63.89,122,114,0.25408363684765894,0.006405399329722426,0.23159282228498837
Turkey,TUR,2020-07-12,212993,5363,194515.0,1012.0,19.0,1298.0,0.004732549896006022,63.89,123,115,0.25529663537342223,0.006428173017459088,0.23314862474194564
Turkey,TUR,2020-07-13,214001,5382,195671.0,1008.0,19.0,1156.0,0.004635492357512261,63.89,124,116,0.2565048394386094,0.006450946705195751,0.23453422384845
Turkey,TUR,2020-07-14,214993,5402,196720.0,992.0,20.0,1049.0,0.004404794574706994,63.89,125,117,0.25769386566149205,0.006474919008076448,0.23579157113454258
Turkey,TUR,2020-07-15,215940,5419,197733.0,947.0,17.0,1013.0,0.004320644623506453,63.89,126,118,0.25882895420289304,0.006495295465525042,0.23700576827544992
Turkey,TUR,2020-07-16,216873,5440,198820.0,933.0,21.0,1087.0,0.004269780009498625,63.89,127,119,0.2599472621322776,0.006520466383549774,0.23830866293701583
Turkey,TUR,2020-07-17,217799,5458,199834.0,926.0,18.0,1014.0,0.004214895385194595,63.89,128,120,0.2610571797556539,0.006542041456142402,0.2395240586930672
Turkey,TUR,2020-07-18,218717,5475,201013.0,918.0,17.0,1179.0,0.004224637316715185,63.89,129,121,0.26215750845787794,0.0065624179135909955,0.24093722594788433
Turkey,TUR,2020-07-19,219641,5491,202010.0,924.0,16.0,997.0,0.004238735026702578,63.89,130,122,0.2632650288509662,0.006581595755895554,0.2421322452464871
Turkey,TUR,2020-07-20,220572,5508,203002.0,931.0,17.0,992.0,0.004207242986417059,63.89,131,123,0.26438093955006264,0.006601972213344146,0.24332127146936972
Turkey,TUR,2020-07-21,221500,5526,204011.0,928.0,18.0,1009.0,0.004072234762979576,63.89,132,124,0.265493254403727,0.006623547285936775,0.24453067414970092
Turkey,TUR,2020-07-22,222402,5545,205214.0,902.0,19.0,1203.0,0.00410517891026152,42.59,133,125,0.2665744052636465,0.006646320973673437,0.2459726081679749
Turkey,TUR,2020-07-23,223315,5563,206365.0,913.0,18.0,1151.0,0.0041958668248887054,42.59,134,126,0.26766874089015036,0.006667896046266065,0.24735221419875902
Turkey,TUR,2020-07-24,224252,5580,207374.0,937.0,17.0,1009.0,0.004106986782726585,42.59,135,127,0.268791843280111,0.006688272503714658,0.24856161687909023
Turkey,TUR,2020-07-25,225173,5596,208477.0,921.0,16.0,1103.0,0.004116834611609832,42.59,136,128,0.26989576782776714,0.006707450346019216,0.2498836893829607
Turkey,TUR,2020-07-26,226100,5613,209487.0,927.0,17.0,1010.0,0.004064573197700039,42.59,137,129,0.2710068840662875,0.00672782680346781,0.25109429067843597
Turkey,TUR,2020-07-27,227019,5630,210469.0,919.0,17.0,982.0,0.004241935697012034,42.59,138,130,0.27210841138365555,0.0067482032609164026,0.25227133074987823
Turkey,TUR,2020-07-28,227982,5645,211561.0,963.0,15.0,1092.0,0.004131905150406512,42.59,139,131,0.27326267776736113,0.006766182488076926,0.2535802184871643
Turkey,TUR,2020-07-29,228924,5659,212557.0,942.0,14.0,996.0,0.004224109311387281,42.59,140,132,0.27439177323304204,0.006782963100093414,0.254774039170623
Turkey,TUR,2020-07-30,229891,5674,213539.0,967.0,15.0,982.0,0.004271589579409429,42.59,141,133,0.2755508340773237,0.006800942327253937,0.2559510792420653
Turkey,TUR,2020-07-31,230873,5691,214535.0,982.0,17.0,996.0,0.00431406011097013,42.59,142,134,0.276727874148766,0.00682131878470253,0.25714489992552403
Turkey,TUR,2020-08-01,231869,5710,215516.0,996.0,19.0,981.0,0.0042567139203602,42.59,143,135,0.27792169483222473,0.006844092472439193,0.25832074138182226
Turkey,TUR,2020-08-02,232856,5728,216494.0,987.0,18.0,978.0,0.0042730271068815995,42.59,144,136,0.2791047279793872,0.0068656675450318215,0.2594929869926884
Turkey,TUR,2020-08-03,233851,5747,217497.0,995.0,19.0,1003.0,0.004631154025426465,42.59,145,137,0.2802973500477019,0.006888441232768484,0.2606951979821554
Turkey,TUR,2020-08-04,234934,5765,218491.0,1083.0,18.0,994.0,0.0050141741936033934,42.59,146,138,0.28159545024869165,0.006910016305361112,0.26188662143532604
Turkey,TUR,2020-08-05,236112,5784,219506.0,1178.0,19.0,1015.0,0.004883275733550185,48.15,147,139,0.2830074188883648,0.006932789993097775,0.26310321580652146
Turkey,TUR,2020-08-06,237265,5798,220546.0,1153.0,14.0,1040.0,0.004994415526942353,48.15,148,140,0.28438942214943697,0.006949570605114263,0.2643497755563177
Turkey,TUR,2020-08-07,238450,5813,221574.0,1185.0,15.0,1028.0,0.004915076535961349,48.15,149,141,0.28580978109511834,0.006967549832274786,0.2655819519243856
Turkey,TUR,2020-08-08,239622,5829,222656.0,1172.0,16.0,1082.0,0.004932769111350321,48.15,150,142,0.2872145580439272,0.0069867276745793445,0.26687885351023133
Turkey,TUR,2020-08-09,240804,5844,223759.0,1182.0,15.0,1103.0,0.004954236640587473,48.15,151,143,0.28863132114417644,0.007004706901739868,0.26820092601410184
Turkey,TUR,2020-08-10,241997,5858,224970.0,1193.0,14.0,1211.0,0.004888490353186281,48.15,152,144,0.29006126901101004,0.007021487513756356,0.2696524489535281
Turkey,TUR,2020-08-11,243180,5873,226155.0,1183.0,15.0,1185.0,0.004983962496915906,48.15,153,145,0.2914792307264033,0.007039466740916879,0.2710728078992094
Turkey,TUR,2020-08-12,244392,5891,227089.0,1212.0,18.0,934.0,0.005086091197747944,48.15,154,146,0.29293195228097363,0.007061041813509508,0.272192314443738
Turkey,TUR,2020-08-13,245635,5912,228057.0,1243.0,21.0,968.0,0.004991145398660635,48.15,155,147,0.29442183090500895,0.00708621273153424,0.27335257390316375
Turkey,TUR,2020-08-14,246861,5934,228980.0,1226.0,22.0,923.0,0.005087883464783838,48.15,156,148,0.29589133307159576,0.007112582264703007,0.274458895681108
Turkey,TUR,2020-08-15,248117,5955,229972.0,1256.0,21.0,992.0,0.004804185122341487,48.15,157,149,0.29739679369250355,0.00713775318272774,0.27564792190399057
Turkey,TUR,2020-08-16,249309,5974,230969.0,1192.0,19.0,997.0,0.00494566983141409,48.15,158,150,0.2988255429441931,0.007160526870464403,0.27684294120259334
Turkey,TUR,2020-08-17,250542,5996,231971.0,1233.0,22.0,1002.0,0.005041070958162752,48.15,159,151,0.30030343541678817,0.00718689640363317,0.2780439535769163
Turkey,TUR,2020-08-18,251805,6016,232913.0,1263.0,20.0,942.0,0.005174639105657075,48.15,160,152,0.3018172863437042,0.007210868706513868,0.27917304904259715
Turkey,TUR,2020-08-19,253108,6039,233915.0,1303.0,23.0,1002.0,0.005578646269576604,48.15,161,153,0.3033790818763817,0.00723843685482667,0.2803740614169201
Turkey,TUR,2020-08-20,254520,6058,234797.0,1412.0,19.0,882.0,0.004726544082979789,48.15,162,154,0.30507152645975893,0.007261210542563333,0.2814312399739589
Turkey,TUR,2020-08-21,255723,6080,235569.0,1203.0,22.0,772.0,0.0051188199731742046,48.15,163,155,0.3065134604780329,0.0072875800757321,0.2823565708651538
Turkey,TUR,2020-08-22,257032,6102,236370.0,1309.0,22.0,801.0,0.004734819010862479,48.15,164,156,0.30808244770157456,0.007313949608900868,0.28331666159552577
